"n","time"
1,1.838998286984861e-06
2,6.547998054884374e-06
3,6.745998689439148e-06
4,9.923001925926656e-06
5,8.643000910524279e-06
6,1.1473995982669294e-05
7,1.55930028995499e-05
8,1.1416996130719781e-05
9,1.6498001059517264e-05
