"n","time"
1,1.681008143350482e-06
2,1.1791998986154795e-05
3,1.2886011973023415e-05
4,1.497400808148086e-05
5,1.2655975297093391e-05
6,2.0823004888370633e-05
7,3.670601290650666e-05
8,4.357899888418615e-05
9,4.8070010961964726e-05
10,5.6136021157726645e-05
12,7.141198148019612e-05
13,7.572802132926881e-05
14,8.307999814860523e-05
15,8.894799975678325e-05
